iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
130000	0.883	804	165	None	-0.5786	-1.1625	-1.0988	13.7585	26.4236	"{""0"": 165, ""10"": 23, ""-1"": 804}"	1178.9687
131017	0.8821	846	149	None	-0.6155	-1.4766	-0.8956	27.986	40.3433	"{""0"": 149, ""10"": 22, ""-1"": 846}"	1188.4787
132013	0.8812	809	168	None	-0.6215	-1.1562	-1.4969	34.1659	43.7256	"{""0"": 168, ""10"": 19, ""-1"": 809}"	1197.6208
133018	0.8803	832	153	None	-0.6289	-1.9469	-1.2912	30.5141	44.1032	"{""0"": 153, ""10"": 20, ""-1"": 832}"	1206.8752
134014	0.8794	832	143	None	-0.6245	-1.2703	-1.0644	28.2413	47.3455	"{""0"": 143, ""10"": 21, ""-1"": 832}"	1216.2596
135018	0.8785	824	153	None	-0.5518	-1.0398	-0.9306	28.9238	46.482	"{""0"": 153, ""10"": 27, ""-1"": 824}"	1225.7945
136016	0.8776	803	166	None	-0.514	-1.0586	-1.0625	31.2302	42.2707	"{""0"": 166, ""10"": 29, ""-1"": 803}"	1235.8011
137013	0.8767	806	161	None	-0.5075	-1.0428	-0.8719	24.5809	37.3064	"{""0"": 161, ""10"": 30, ""-1"": 806}"	1245.6447
138003	0.8758	783	182	None	-0.5384	-1.4109	-1.7412	12.4386	29.5269	"{""0"": 182, ""10"": 25, ""-1"": 783}"	1254.7146
139016	0.8749	824	160	None	-0.5271	-0.9836	-0.9719	29.3795	34.3996	"{""0"": 160, ""10"": 29, ""-1"": 824}"	1264.9772
140003	0.874	836	123	None	-0.5633	-0.7891	-0.8144	18.8803	36.3185	"{""0"": 123, ""10"": 28, ""-1"": 836}"	1274.7192
141000	0.8731	831	135	None	-0.5226	-0.7135	-0.8881	22.833	37.1664	"{""0"": 135, ""10"": 31, ""-1"": 831}"	1284.2471
142019	0.8722	768	233	None	-0.577	-0.6494	-0.5538	19.0381	40.9282	"{""0"": 233, ""10"": 18, ""-1"": 768}"	1294.3136
143014	0.8713	791	173	None	-0.4834	-1.45	-1.2769	32.5216	61.9701	"{""0"": 173, ""10"": 31, ""-1"": 791}"	1304.9334
144001	0.8704	800	156	None	-0.4965	-1.2823	-1.0431	17.2477	41.322	"{""0"": 156, ""10"": 31, ""-1"": 800}"	1314.9782
145013	0.8695	817	162	None	-0.4812	-0.7707	-0.8906	18.5301	26.1256	"{""0"": 162, ""10"": 33, ""-1"": 817}"	1325.8707
146003	0.8686	802	172	None	-0.6485	-0.8391	-0.6975	8.0131	42.8254	"{""0"": 172, ""10"": 16, ""-1"": 802}"	1336.1859
147002	0.8677	812	166	None	-0.6026	-1.0042	-1.1563	28.6012	40.5958	"{""0"": 166, ""10"": 21, ""-1"": 812}"	1346.2748
148016	0.8668	775	212	None	-0.498	-2.3343	-1.5025	31.3724	63.9859	"{""0"": 212, ""10"": 27, ""-1"": 775}"	1357.4968
149002	0.8659	774	193	None	-0.5923	-1.1219	-0.6575	20.451	49.0868	"{""0"": 193, ""10"": 19, ""-1"": 774}"	1368.2586
150009	0.865	812	174	None	-0.5978	-1.3	-1.42	57.5334	60.5818	"{""0"": 174, ""10"": 21, ""-1"": 812}"	1378.9926
151005	0.8641	812	157	None	-0.5442	-0.8215	-0.8856	55.1004	70.0835	"{""0"": 157, ""10"": 27, ""-1"": 812}"	1389.8007
152016	0.8632	841	154	None	-0.6736	-1.2297	-1.0544	31.8978	51.2807	"{""0"": 154, ""10"": 16, ""-1"": 841}"	1399.2729
153009	0.8623	816	153	None	-0.5801	-0.8953	-0.7769	52.9372	78.7565	"{""0"": 153, ""10"": 24, ""-1"": 816}"	1410.1906
154018	0.8614	793	194	None	-0.5679	-0.693	-0.7594	49.6612	63.3783	"{""0"": 194, ""10"": 22, ""-1"": 793}"	1420.6916
155013	0.8605	786	183	None	-0.5286	-0.9447	-0.7175	81.5792	82.6432	"{""0"": 183, ""10"": 26, ""-1"": 786}"	1431.6209
156016	0.8596	802	171	None	-0.5005	-0.9344	-0.815	58.2031	66.1406	"{""0"": 171, ""10"": 30, ""-1"": 802}"	1442.5925
157002	0.8587	803	156	None	-0.5406	-1.3472	-1.2994	26.5219	56.9971	"{""0"": 156, ""10"": 27, ""-1"": 803}"	1453.5505
158002	0.8578	815	164	None	-0.605	-1.0234	-0.9369	20.7056	47.5873	"{""0"": 164, ""10"": 21, ""-1"": 815}"	1463.3294
159007	0.8569	826	157	None	-0.603	-1.0344	-1.0925	27.8064	57.8344	"{""0"": 157, ""10"": 22, ""-1"": 826}"	1473.4052
160010	0.856	813	159	None	-0.5015	-0.1546	-0.3387	53.7389	63.6207	"{""0"": 159, ""10"": 31, ""-1"": 813}"	1483.8895
161013	0.8551	795	185	None	-0.5633	-0.8935	-0.7969	15.5728	32.464	"{""0"": 185, ""10"": 23, ""-1"": 795}"	1494.2783
162010	0.8542	841	130	None	-0.5827	-1.029	-1.2825	14.5302	31.5895	"{""0"": 130, ""10"": 26, ""-1"": 841}"	1504.7236
163007	0.8533	814	153	None	-0.5155	-0.5134	-0.97	16.4003	30.1275	"{""0"": 153, ""10"": 30, ""-1"": 814}"	1515.4476
164003	0.8524	825	154	None	-0.6576	-1.0542	-1.0312	10.3977	31.0637	"{""0"": 154, ""10"": 17, ""-1"": 825}"	1525.6108
165012	0.8515	833	156	None	-0.6274	-0.9135	-0.8506	32.2456	59.1658	"{""0"": 156, ""10"": 20, ""-1"": 833}"	1536.3718
166006	0.8506	792	174	None	-0.5151	-0.8724	-0.7037	44.5061	61.9078	"{""0"": 174, ""10"": 28, ""-1"": 792}"	1547.2587
167010	0.8497	843	127	None	-0.501	-0.9605	-0.9387	29.8363	45.2828	"{""0"": 127, ""10"": 34, ""-1"": 843}"	1558.4552
168000	0.8488	778	177	None	-0.4323	-0.8815	-0.9581	15.0295	34.8294	"{""0"": 177, ""10"": 35, ""-1"": 778}"	1569.948
169008	0.8479	831	160	None	-0.6558	-1.164	-0.9781	10.0623	33.492	"{""0"": 160, ""10"": 17, ""-1"": 831}"	1580.7107
170010	0.847	813	163	None	-0.5519	-0.5437	-0.7337	26.173	51.3457	"{""0"": 163, ""10"": 26, ""-1"": 813}"	1591.8998
171003	0.8461	823	142	None	-0.5468	-1.3469	-1.1681	35.4585	45.6466	"{""0"": 142, ""10"": 28, ""-1"": 823}"	1602.6628
172008	0.8452	862	117	None	-0.599	-0.8934	-0.805	18.7267	36.5301	"{""0"": 117, ""10"": 26, ""-1"": 862}"	1613.5753
173001	0.8443	798	161	None	-0.4612	-0.5698	-0.5237	14.743	38.5371	"{""0"": 161, ""10"": 34, ""-1"": 798}"	1625.4023
174008	0.8434	844	140	None	-0.6097	-1.0356	-1.0356	15.6491	25.4545	"{""0"": 140, ""10"": 23, ""-1"": 844}"	1636.5951
175016	0.8425	771	210	None	-0.497	-1.3698	-1.3837	14.3897	24.695	"{""0"": 210, ""10"": 27, ""-1"": 771}"	1648.7087
176016	0.8416	747	224	None	-0.457	-1.1765	-1.1787	17.9822	41.2328	"{""0"": 224, ""10"": 29, ""-1"": 747}"	1660.6428
177016	0.8407	844	130	None	-0.584	-1.15	-1.0175	16.341	35.5667	"{""0"": 130, ""10"": 26, ""-1"": 844}"	1671.6217
178003	0.8398	791	168	None	-0.5177	-1.5443	-1.5569	15.3128	26.718	"{""0"": 168, ""10"": 28, ""-1"": 791}"	1682.5601
179003	0.8389	777	191	None	-0.457	-1.0531	-1.0531	19.2716	31.4005	"{""0"": 191, ""10"": 32, ""-1"": 777}"	1694.0398
180005	0.838	825	146	None	-0.514	-1.3851	-1.3894	16.0246	45.041	"{""0"": 146, ""10"": 31, ""-1"": 825}"	1705.5642
181011	0.8371	799	187	None	-0.5954	-1.0661	-1.0656	38.3836	58.0447	"{""0"": 187, ""10"": 20, ""-1"": 799}"	1716.1891
182017	0.8362	768	197	None	-0.3559	-0.7414	-0.7675	33.0025	47.4515	"{""0"": 197, ""10"": 41, ""-1"": 768}"	1728.7375
183004	0.8353	817	142	None	-0.5441	-0.9755	-0.9812	12.4117	30.3605	"{""0"": 142, ""10"": 28, ""-1"": 817}"	1740.2159
